ampulla, ampullae, f
auris, auris, f
bulbus, bulbi, m
camera, camerae, f
canalis, canalis, m
cavum, cavi, n
cochlea, cochleae, f
conjunctiva, conjunctivae, f
cornea, corneae, f
corpus, corporis, n
ductus, ductus, m
fenestra, fenestrae, f
fovea, foveae, f
glandula, glandulae, f
humor, humoris, m
incus, incudis, f
iris, iridis, f
labyrinthus, labyrinthi, m
lacrima, lacrimae, f
lens, lentis, f
macula, maculae, f
malleus, mallei, m
meatus, meatus, m
nervus, nervi, m
oculus, oculi, m
orbita, orbitae, f
ossiculum, ossiculi, n
palpebra, palpebrae, f
pupilla, pupillae, f
retina, retinae, f
sacculus, sacculi, m
sclera, sclerae, f
stapes, stapedis, m
tuba, tubae, f
tympanon, tympani, n
utriculus, utriculi, m
vestibulum, vestibuli, n
