barba, barbae, f
capillus, capilli, m
cilium, cilii, n
corium, corii, n
cutis, cutis, f
derma, dermatis, n
epidermis, epidermidis, f
folliculus, folliculi, m
glandula, glandulae, f
hircus, hirci, m
integumentum, integumenti, n
keratinum, keratini, n
lanugo, lanuginis, f
lunula, lunulae, f
matrix, matricis, f
melaninum, melanini, n
nervus, nervi, m
papilla, papillae, f
pilus, pili, m
porus, pori, m
pubes, pubis, f
rete, retis, n
sebum, sebi, n
stratum, strati, n
subcutis, subcutis, f
sudor, sudoris, m
supercilium, supercilii, n
tela, telae, f
unguis, unguis, m
vas, vasis, n
vibrissa, vibrissae, f
