arachnoidea, arachnoideae, f
cauda, caudae, f
cerebellum, cerebelli, n
cerebrum, cerebri, n
commissura, commissurae, f
corpus, corporis, n
cortex, corticis, m
diencephalon, diencephali, n
encephalon, encephali, n
fasciculus, fasciculi, m
foramen, foraminis, n
funiculus, funiculi, m
ganglion, ganglii, n
gyrus, gyri, m
hypothalamus, hypothalami, m
lobus, lobi, m
mater, matris, f
medulla, medullae, f
meninx, meningis, f
mesencephalon, mesencephali, n
nervus, nervi, m
nucleus, nuclei, m
plexus, plexus, m
pons, pontis, m
ramus, rami, m
substantia, substantiae, f
sulcus, sulci, m
taenia, taeniae, f
telencephalon, telencephali, n
thalamus, thalami, m
tractus, tractus, m
ventriculus, ventriculi, m
