alveolus, alveoli, m
apex, apicis, m
arcus, arcus, m
basis, basis, f
bronchiolus, bronchioli, m
bronchus, bronchi, m
carina, carinae, f
cavum, cavi, n
choana, choanae, f
concha, conchae, f
cornu, cornus, n
diaphragma, diaphragmatis, n
epiglottis, epiglottidis, f
fossa, fossae, f
glottis, glottidis, f
hilum, hili, n
impressio, impressionis, f
larynx, laryngis, m
lobus, lobi, m
margo, marginis, m
meatus, meatus, m
nasus, nasi, m
ostium, ostii, n
pars, partis, f
pharynx, pharyngis, m
pleura, pleurae, f
plica, plicae, f
pulmo, pulmonis, m
recessus, recessus, m
rima, rimae, f
septum, septi, n
sinus, sinus, m
trachea, tracheae, f
vestibulum, vestibuli, n
