anus, ani, m
appendix, appendicis, f
bilis, bilis, f
canalis, canalis, m
cardia, cardiae, f
colon, coli, n
crypta, cryptae, f
curvatura, curvaturae, f
ductus, ductus, m
duodenum, duodeni, n
fissura, fissurae, f
flexura, flexurae, f
fundus, fundi, m
gaster, gastris, f
glandula, glandulae, f
hepar, hepatis, n
hilum, hili, n
ileum, ilei, n
intestinum, intestini, n
jejunum, jejuni, n
lien, lienis, m
lingua, linguae, f
lobus, lobi, m
lumen, luminis, n
mesenterium, mesenterii, n
oesophagus, oesophagi, m
omentum, omenti, n
os, oris, n
palatum, palati, n
pancreas, pancreatis, n
papilla, papillae, f
pars, partis, f
peritoneum, peritonei, n
pharynx, pharyngis, m
porta, portae, f
pulpa, pulpae, f
pylorus, pylori, m
recessus, recessus, m
rectum, recti, n
sinus, sinus, m
valva, valvae, f
ventriculus, ventriculi, m
vesica, vesicae, f
villus, villi, m
