amnion, amnii, n
calyx, calicis, m
capsula, capsulae, f
cervix, cervicis, f
chorion, chorii, n
clitoris, clitoridis, f
corpus, corporis, n
cortex, corticis, m
ductus, ductus, m
epididymis, epididymidis, f
fimbria, fimbriae, f
fundus, fundi, m
glans, glandis, f
glomerulus, glomeruli, m
labium, labii, n
ligamentum, ligamenti, n
medulla, medullae, f
ovarium, ovarii, n
pelvis, pelvis, f
penis, penis, m
perineum, perinei, n
placenta, placentae, f
praeputium, praeputii, n
prostata, prostatae, f
ren, renis, m
scrotum, scroti, n
testis, testis, m
trigonum, trigoni, n
tuba, tubae, f
tubulus, tubuli, m
ureter, ureteris, m
urethra, urethrae, f
urina, urinae, f
uterus, uteri, m
vagina, vaginae, f
vesica, vesicae, f
vulva, vulvae, f
